;subj;group;C5%;C10%;C20%;C40%;C80%
0;Subject_1;1;192.2543486;234.4307446;286.2370834;304.5698938;424.232208
1;Subject_2;1;244.7931792;338.1118219;402.6699416;386.5319798;496.0868261
2;Subject_3;1;295.0430698;337.8107578;362.0141287;679.7312448;757.1649055
3;Subject_4;1;262.9572604;379.5991597;442.1324555;659.473335;841.4347696
4;Subject_5;1;533.50809;515.2558176;615.6865568;1049.008409;1474.191922
5;Subject_6;1;136.9526143;203.046443;148.3151999;219.5544304;184.2610866
6;Subject_7;1;225.4547653;280.193196;483.1820577;557.9251527;728.7543777
7;Subject_8;1;270.1885075;495.7269732;615.0681058;916.684991;744.4949454
8;Subject_9;1;482.5420924;457.5391985;635.1413208;832.3231278;1262.569234
9;Subject_10;1;136.2617449;199.7981084;384.2263487;553.4210449;614.6698352
10;Subject_11;1;347.9104154;373.6954135;366.201661;374.7624344;468.6675559
11;Subject_12;1;394.7179169;494.2628699;500.1082521;755.391255;927.2544227
12;Subject_13;1;365.4713946;636.9182966;990.7382374;1070.281399;1325.652226
13;Subject_14;1;218.2539103;286.6364365;439.706631;598.4100584;471.0006192
14;Subject_15;1;275.29394;251.1587611;427.8199257;650.0338893;756.4887048
15;Subject_16;1;260.4438248;290.1865779;411.0850504;608.2733358;810.4528799
16;Subject_17;1;233.449595;281.9053105;295.5834938;370.3493969;641.8918473
17;Subject_18;1;332.2350523;426.6764896;654.010073;837.8717407;751.1591179
18;Subject_19;1;234.7189777;301.6468824;484.5426848;685.8877276;739.0655273
19;Subject_20;1;106.4934183;131.2081562;204.4876648;229.2439568;320.8092007
20;Subject_21;1;347.6213152;415.9037481;511.7031376;709.2742942;718.6915556
21;Subject_22;2;174.34480388708715;175.5864894345132;303.8039252744614;350.8787559551665;493.60928997383655
22;Subject_23;2;186.0716000598899;218.40971927597624;279.3127691074539;360.394021291238;441.0524642675673
23;Subject_24;2;206.49383850584417;221.86974442252463;378.83714454881203;377.9397723293542;338.9003431151612
24;Subject_25;2;305.1108237267041;487.455071159303;576.6919190022782;783.5137576860453;882.4344463508352
25;Subject_26;2;214.63890704981375;255.389320480069;399.4314239764131;674.7669692949235;564.9529218236507
26;Subject_27;2;177.39955810648254;277.22193088596237;381.97002002640465;384.8714374459533;454.13637003215365
27;Subject_28;2;332.45175558356675;274.2598679697718;266.23125834446415;645.9460735012292;553.9313838470013
28;Subject_29;2;166.86212341042446;178.93847592751186;357.85560359892486;378.065592939545;410.1055205577955
29;Subject_30;2;196.30802971989135;227.4045509809078;288.1006372861883;311.00880867530617;230.17961927534725
30;Subject_31;2;541.6632239038341;494.76166577552095;688.4069721506357;889.5973649841033;929.2932691228475
31;Subject_32;2;147.8660104767469;229.15523928623406;210.62866469048234;230.73250440442996;314.27594034480745
32;Subject_33;2;383.4405831506149;452.9507982988472;537.9789309109066;975.7423009951247;923.675849061316
33;Subject_34;2;172.23817166479802;190.7281203953935;220.52566566588078;295.3925719403569;272.5338207674536
34;Subject_35;2;297.0579599008925;400.4080411328768;601.8224945653438;686.6516075568767;463.27262465954146
35;Subject_36;2;239.84988769164798;294.43906924329644;436.911985371302;492.482675269765;565.669683980921
36;Subject_37;2;204.1638214813865;224.96360510624598;185.79749296904882;315.3611256553761;336.0761205770255
37;Subject_38;2;343.83177956894747;433.62027845561863;810.3245549211368;1134.5506359223093;1296.5888028642905
38;Subject_39;2;414.7609148482554;361.6159701256401;561.0376869829212;670.2219660001745;715.1028368061485
39;Subject_40;2;398.6891983930803;466.3388486373952;581.3969944430503;621.7003444905926;486.85118537101107
40;Subject_41;2;319.5805476783495;478.6625024584743;684.110629202334;828.8931918580128;898.8907321244085
